post_id,text,views,likes
168294,"Когда мужчина говорит, что главное в
женщине — это чувство юмора, он имеет
в виду, что его богатая и красивая женщина
должна еще уметь хорошо шутить!",18469,126
168279,"В доме, где есть мужчина и кошка, других украшений больше не нужно!",25640,761
168274,Главная задача настоящей женщины — пересадить своего мужчину с самоката в роскошный Мерседес!,21447,684
168272,"А Вы тоже заметили, что у женщин со своей квартирой и машиной шутки гораздо смешнее?",28096,472
168268,"Админ завел личный кaнaл, где выкладывает БАЗУ для избранных. Скоро канал может стать закрытым.

Успей залететь, пока есть возможность!

Вся информация в комментариях к этой записи.",8160,520
168247,База,20694,285
168243,"Ты можешь быть тысячу раз права, но какой в этом толк, если ты мало зарабатываешь?",8826,123
168235,"Размещу ваше фото в группе, подберу крутую цитату. Цена – 1000 руб. Пишите в сообщения сообщества. Заранее!",10439,654
168213,"Размещу ваше фото в группе, подберу крутую цитату. Цена – 1000 руб. Пишите в сообщения сообщества. Заранее!",9734,490
168204,"Мужчины, они как коты — без любви начинают шипеть и фыркать. А если их не обеспечивать, могут и вовсе уйти к другой хозяйке...",9548,631
168201,"Пока другие мужчины боятся потерять работу, я боюсь ее найти.",39259,453
168192,"Админ завел личный кaнaл, где выкладывает БАЗУ для избранных. Скоро канал может стать закрытым.

Успей залететь, пока есть возможность!

Вся информация в комментариях к этой записи.",9301,536
168185,"После ссоры крикнул ей  в трубку: «Ну все, мы расстаёмся!»

Через 5 минут приходит тысяча долларов на мою карту. Через 10 минут смс с вопросом: «Ну все? Ты успокоился?».

Вoт тогда я понял, что связался с настоящей женщиной, а не с девочкой!",29018,200
168172,,12455,539
168169,"– Девушка, это вам от мужчины вон за тем столиком
– А что это?
– Его счёт...",26750,827
168159,"Красота женщины не во внешности, а в её поступках...",55308,532
168153,"Ставь класс, если жизненно",13058,156
168132,,17211,246
168125,"Женщина нужна такая, чтобы радовала, любила и обеспечивала. А чтобы расстраивала — такая не нужна. Расстраивает меня всё и без женщины!",34819,669
168121,"Грош цена тем женщинам, которые давятся
слюной, глядя на чужого мужчину
Ты своего одень, обуй, своди в ресторан и
любуйся!",11698,642
168119,"Женщины, которые признаются мне В любви...вы номер моей банковской карты знаете? Вот туда и признавайтесь!",21866,660
168110,Раньше мне не везло с женщинами. Пришло время - я повзрослел. Теперь женщинам не везет со мной!,19251,167
168105,,18583,250
168104,"Настоящий мужчина все может сделать сам. 
Но настоящая женщина никогда этого не допустит...",14490,668
168092,"Женщины! Для того, чтобы найти общий язык со мной — выбросьте гордость, пафос и понты на помойку. Люблю простых и скромных женщин, зарабатывающих от миллиона рублей в месяц.",24627,594
168062,"Ты можешь быть тысячу раз права, но какой в этом толк, если твой мужчина плачет?",47812,502
168060,"Админ завел личный кaнaл, где выкладывает БАЗУ для избранных. Скоро канал может стать закрытым.

Успей залететь, пока есть возможность!

Вся информация в комментариях к этой записи.",10075,473
168055,,11041,170
168045,,9014,33
168042,"Кристиан Бэйл растолстел для нового фильма, по сюжету которого его будет обеспечивать женщина. Настоящий актёр!",9457,153
168019,"Размещу ваше фото в группе, подберу крутую цитату. Цена - 1000 руб. Пишите в сообщения сообщества. Заранее)",19026,576
168018,"Кресло для настоящих мужчин, знающих себе цену. 
 
Каждый мужчина хочет встретить богатую женщину, и у него должно быть премиальное ортопедическое корейское кресло, где её можно с комфортом ждать. Патентованная система Dual-Backrest System делает сидение динамичным, обеспечивая свободу движений в любом положении, а еще снижает усталость. 
 
К каждому креслу прикоснулся админ и зарядил энергией успеха! А еще южно-корейская Duorest поставляет кресла административному аппарату правительству республики Кореи и ведущим южно-корейским компаниям (SAMSUNG, LG и др.). 
 
Покупая кресло, вы не только делаете инвистицию в своё здоровье (кресла реально качественные и лучшие на рынке, протестировал сам), но и помогаете развитию паблика, ведь админ стал амбасадором бренда Duorest. Цена кресла — 59.990 руб. 
 
Доставка бесплатно в любую точку России ведущими транспортными компаниями. По всем вопросам обращайтесь в сообщения сообщества https://vk.me/bitchy_man",7574,21
168006,"Женщина должна зарабатывать больше, чем успевает тратить ее мужчина. Она так развивается. При раскладе: «все по честному» «все поровну», женщина деградирует.",9126,612
168002,У настоящей женщины попросту нет времени на измену — она занята бизнесом чтобы обеспечивать своего единственного!,27925,773
167996,"Женщины, запомните: мужчину нужно любить как кота. Ласкать, баловать, обеспечивать...и вообще радоваться, что домой пришёл!",17895,672
167994,"Мужчина, который знаeт себе цену, с женщинами не флиртует. Он их фильтрует)",21172,715
167992,"— Сделай первый шаг! Пригласи его в ресторан!
— Но я не готова,
— Не готова к чему? Быть женщиной??",8762,146
167982,"Женщины, что вы там говорите? Характер сложный? А вы как хотели? Если полюбила тигра...не жалуйся на царапины!",28993,465
167980,"Я из тех мужчин, которые решают проблемы одним звонком. И этот звонок маме.

Стетхем (с)",16664,237
167976,Я идеальный муж — сделал свою жену миллионершей. Правда до этого она была миллиардершей...,7872,85
167972,,7650,33
167967,Размещу ваше фото в пабликe. Подберу крутую цитату)  Ценa — 1000 pуб. Пишите в сообщения группы. Заранее!,8324,600
167963,"Мужчина не может расцвести на пустом
месте — должна найтись обеспеченная
садовница!",16816,640
167962,Слова настоящей женщины.,12669,250
167949,"Женщины, поймите уже, что мужчин нужно добиваться.
Они так устроены, что их привлекают упорные и смелые девушки. Даже если ваши первые попытки были встречены отказом и равнодушием — ничего страшного.
Просто мужчины любят говорить «нет», для них это некий фильтр и способ выбора женщины. Будьте настоящими женщинами, а не слабачками и папиными дочками.",17162,724
167945,"Админ завел личный канaл, где выкладывает эксклюзив. Скоро канал может стать закрытым.

Чистая БАЗА для настоящих мужчин и женщин. Успей залететь, пока есть возможность. 

Вся информация в комментариях к этой записи.",10871,470
167942,Мужчина — не спирт. Разведенный слабее не становится!,27900,900
167918,,14927,478
167908,"У мужчин, как и у кошек, нет правил...есть только настроение. Какое настроение — такие и правила!",12750,633
167902,Логика настоящей женщины выглядит так:,27909,292
167900,"Настоящая женщина должна класть лимон не в чай, а на счет мужчины в швейцарский банк!",11092,575
167879,"Девушки, нужен обеспеченный?
Дак возьмите и обеспечьте!",10143,121
167875,"Админ завел личный канaл, где выкладывает эксклюзив. Скоро канал может стать закрытым.

Чистая БАЗА для настоящих мужчин. Успей залететь, пока есть возможность. 

Вся информация в комментариях к этой записи.",14435,520
167868,"Думал, дышать не могу без нее.. Оказалось, просто насморк!",23822,616
167866,"Что за мода у женщин пошла, проверять мужчин на меркантильность... мол заплатит за себя или нет. 

Да если мужчина хоть раз заплатил за себя, то это позор прежде всего для его женщины.",16792,693
167859,,11131,596
167849,Первое правило бойцовского клуба — за тебя всегда платят женщины.,21119,290
167848,"Если женщина захочет — она тебя добьётся 
Не добилась — значит плохо хотела. Все просто!",17827,711
167847,,14137,563
167839,"Улыбаюсь мило, поступаю гадко. Нет, я не $ука — я мальчик загадка...",31631,676
